Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood,Zip.Code
2.018E+13,6/16/18,2300,6/21/18,1254,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/23/18,800,6/23/18,1633,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/24/18,1050,6/25/18,1010,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/25/18,950,6/25/18,1021,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/26/18,1900,6/28/18,1642,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/30/18,1300,7/1/18,1612,THEFT-ALL OTHER,THEFT-PKPOCKET,EAST,G,G1,FIRST HILL,98122
2.018E+13,7/3/18,1100,7/3/18,1732,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G2,FIRST HILL,98122
2.018E+13,6/25/18,101,7/4/18,2148,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,7/6/18,1610,7/9/18,1628,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,7/9/18,1455,7/9/18,2023,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,7/11/18,1405,7/11/18,1419,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/24/18,1030,7/13/18,1049,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,7/15/18,1135,7/16/18,1035,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,7/21/18,1830,7/23/18,1416,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,7/24/18,0,7/24/18,717,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,7/30/18,1255,7/31/18,1318,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,FIRST HILL,98122
2.018E+13,7/26/18,700,7/31/18,1308,THEFT-BICYCLE,THEFT-BICYCLE,EAST,E,E3,FIRST HILL,98122
2.018E+13,7/31/18,1730,7/31/18,2310,THEFT-BUILDING,THEFT-BUILDING,EAST,G,G1,FIRST HILL,98122
2.018E+13,8/5/18,0,8/5/18,1107,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,FIRST HILL,98122
2.018E+13,8/7/18,0,8/7/18,944,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,8/9/18,520,8/9/18,742,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,8/10/18,1500,8/10/18,1754,THEFT-BICYCLE,THEFT-BICYCLE,EAST,E,E2,FIRST HILL,98122
2.018E+13,8/6/18,1120,8/14/18,2331,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,8/15/18,620,8/15/18,947,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,8/18/18,2200,8/19/18,1039,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
